payment_type_label,trips,revenue,avg_revenue,avg_tip,avg_tip_rate
Cash,363735,8589512.92,23.614755027698738,0.0002708015450808968,1.900928075969172e-05
Credit card,2403301,67165489.14,27.94718145583928,4.098271697968753,0.2629708302774385
Dispute,35456,1842601.8900000001,51.96869048962094,0.009840647563176897,0.0003293171701012846
Flex Fare,413133,9566360.1,23.15564261387979,0.5469688211786519,0.027384794971629798
No charge,11745,285495.56,24.30783822903363,0.003146019582801192,0.00015282301105529962
