pickup_hour,trips,revenue,avg_revenue,avg_fare_per_mile,avg_duration_per_mile,avg_tip_rate
0,86022,2346836.77,27.28182058078166,10.211246977700187,5.302599641265567,0.17133193099319458
1,59166,1488389.31,25.156159111651963,11.125938090881084,5.393093586948721,0.1695916049163356
2,39967,962177.98,24.07431080641529,11.347355857869466,5.565669381300372,0.1665411025908003
3,25394,634988.99,25.005473340159092,12.795034835912546,4.968895532685814,0.16510050010698443
4,17847,549030.71,30.763193253768137,15.412095426326218,4.617978982510773,0.14330661385605156
5,20406,708739.59,34.73192149367833,18.153766287719684,4.110246220291359,0.1459779579864808
6,46280,1346639.8,29.09766205704408,10.654633583484573,4.812142488148312,0.15034778508865138
7,95963,2562640.54,26.704464637412336,10.248713253759421,6.0094338308167945,0.16562732729395863
8,132565,3346428.6,25.243681212989856,10.38158366300427,6.979539101536631,0.17694080579781885
9,135882,3448961.83,25.382036104855683,11.436661850922524,7.3791262376937885,0.19654595466425231
10,141715,3649809.53,25.754574533394486,10.891159015707526,7.4539773183175315,0.2029974791225222
11,152920,3896013.05,25.477459128956315,11.657327386996936,7.738149921238316,0.20157460946088307
12,166842,5171530.84,30.996576641373274,15.52447212691779,7.6901696863438165,0.20138730104239488
13,176782,4683189.16,26.491323551040264,12.422081657607395,7.6554013742345495,0.19991219305401114
14,192109,5236011.11,27.255418069949872,12.601443903415278,7.5477630812767424,0.19829845925370296
15,202645,5536336.78,27.320371980557134,12.750963717355248,7.737063318658438,0.2183529319682095
16,201317,5891033.2,29.26247261781171,20.094501779830846,14.312713678861233,0.22143789514936743
17,227411,6270327.65,27.572666449731983,27.28231119856155,21.81610418423312,0.22134932653620837
18,234714,6165092.99,26.266405029099246,32.53588000450755,25.24298033398496,0.21763501498150162
19,199220,5374341.45,26.976917227186025,24.406773169386863,18.27386878822679,0.21678155641016253
20,183400,4904268.65,26.74083233369684,9.749507569219674,6.0561094512642555,0.20485770957359206
21,192958,5168190.76,26.784019112967588,10.118000159411926,5.942018597232381,0.19988619555055934
22,169524,4598170.39,27.12400834100186,10.20247967366337,5.849713584410794,0.18548541043604205
23,126321,3510309.93,27.78880732419788,11.271754038592924,5.35390348627943,0.1702984632929746
