PULocationID,trips,revenue,avg_revenue,avg_fare_per_mile,avg_duration_per_mile,avg_tip_rate,Zone,Borough
1,77,6883.3,89.3935064935065,2038.9206952483573,7.459618340361968,0.7398984330117667,Newark Airport,EWR
2,5,314.17,62.834,8.487323223843545,2.810081760881708,0.08788811909533352,Jamaica Bay,Queens
3,154,5668.63,36.809285714285714,12.998568925904324,10.17411749085227,0.005598225843693649,Allerton/Pelham Gardens,Bronx
4,6548,151776.87,23.179118814905316,17.919071514615737,12.57935016812491,0.10972197386817108,Alphabet City,Manhattan
5,2,193.34,96.67,4.542549379794592,2.9694816484501474,0.0,Arden Heights,Staten Island
6,78,2265.7,29.047435897435896,1.9267910746514347,3.227076415603797,0.013423584240485648,Arrochar/Fort Wadsworth,Staten Island
7,2564,68433.2,26.690015600624022,27.008640239382313,10.208613487393984,0.06529473745964828,Astoria,Queens
8,19,1252.78,65.93578947368421,9.936598030692538,5.189639254821381,0.19949267932077128,Astoria Park,Queens
9,93,2916.16,31.356559139784945,8.895301141928302,6.536740281194467,0.03048691342786378,Auburndale,Queens
10,1146,70191.28,61.24893542757417,32.30105725655177,4.131839238521273,0.07098995753519174,Baisley Park,Queens
11,134,4213.96,31.447462686567164,23.810444081624105,5.894223113791939,0.0,Bath Beach,Brooklyn
12,851,26864.51,31.568166862514687,22.90172354335834,15.383641904774038,0.23451088262955497,Battery Park,Manhattan
13,19192,596532.95,31.08237546894539,26.814276089374005,19.82567528006946,0.18113015532938118,Battery Park City,Manhattan
14,787,26379.27,33.51876747141042,13.002847349369498,11.187214903976708,0.047041957583624526,Bay Ridge,Brooklyn
15,75,2642.89,35.23853333333333,5.6948686575253955,3.411718663584331,0.018550656420431744,Bay Terrace/Fort Totten,Queens
16,101,3320.67,32.87792079207921,91.00493217861994,4.198890988725222,0.007893346846153284,Bayside,Queens
17,1280,35793.16,27.963406250000002,24.276603020463398,20.78366181906688,0.019245999302182307,Bedford,Brooklyn
18,294,10145.35,34.507993197278914,5.137962670250455,5.122536459698305,0.0,Bedford Park,Bronx
19,193,6559.57,33.98740932642487,27.575462848566893,19.54928818520773,0.011416297299085677,Bellerose,Queens
20,176,6230.38,35.39988636363636,17.665973092520193,18.86134670999768,0.009393821206590892,Belmont,Bronx
21,261,8426.44,32.28521072796935,10.16596243002055,7.432320341760964,0.0033697079502971396,Bensonhurst East,Brooklyn
22,297,8823.09,29.70737373737374,66.40878766023046,13.311340147813391,0.003045995124097379,Bensonhurst West,Brooklyn
23,10,497.24,49.724000000000004,499.807503992071,347.19329234196005,0.0,Bloomfield/Emerson Hill,Staten Island
24,7829,170111.41,21.7283701622174,19.29706869983146,14.436839755309618,0.16871312677719585,Bloomingdale,Manhattan
25,1897,54552.49,28.757243015287294,36.117388764483884,31.942674930772807,0.09653397673216065,Boerum Hill,Brooklyn
26,595,15765.81,26.497159663865546,27.30513868193126,24.330013110030684,0.0002678831005219221,Borough Park,Brooklyn
