ratecode_label,trips,revenue,avg_revenue,avg_fare_per_mile,avg_duration_per_mile
Group ride,7,34.25,4.892857142857143,14.404761904761907,2.707482993197279
JFK,88008,8270970.56,93.97975820379965,51.1925628316703,2.9276763847235046
Nassau or Westchester,6570,870344.9,132.47258751902586,5.459794909261703,2.1614538619054793
Negotiated fare,14629,1336470.57,91.35761637842641,393.8736592327975,4.903949733072015
Newark,7394,839932.82,113.59654043819312,44.702430488044506,2.7224537623237466
Standard rate,2658642,65173337.43,24.51376959741101,8.429764311313555,7.0292284344346445
Unknown/Null,452120,10958369.08,24.23774458108467,37.780543764229364,31.39137087792153
